# File: ISO_GCAM_region_map.csv
# Title: Map of iso codes to GCAM regions
# Description: Maps iso country codes and GCAM regions and Used to prepare EPA emissions data from the global emissions projections
# Units: Unitless
# Column types: cc
country_code,GCAM_region_ID
abw,9
afg,27
ago,4
alb,15
and,13
are,21
arg,31
arm,10
asm,29
atg,9
aus,6
aut,13
aze,10
bdi,2
bel,13
ben,5
bfa,5
bgd,27
bgr,12
bhr,21
bhs,9
bih,15
blr,14
blz,9
bmu,9
bol,26
bra,7
brb,9
brn,29
btn,27
bwa,4
caf,5
can,8
che,16
chl,26
chn,11
civ,5
cmr,5
cod,5
cog,5
cok,29
col,32
com,2
cpv,5
cri,9
cub,9
cuw,9
cym,9
cyp,12
cze,12
deu,13
dji,2
dma,9
dnk,13
dom,9
dza,3
ecu,26
egy,3
eri,2
esh,3
esp,13
est,12
eth,2
fin,13
fji,29
flk,13
fra,13
fro,13
fsm,29
gab,5
gbr,13
geo,10
gha,5
gib,13
gin,5
global,NA
glp,9
gmb,5
gnb,5
gnq,5
grc,13
grd,9
grl,13
gtm,9
guf,25
gum,29
guy,25
hkg,11
hnd,9
hrv,15
hti,9
hun,12
idn,18
ind,17
irl,13
irn,21
irq,21
isl,16
isr,21
ita,13
jam,9
jor,21
jpn,19
kaz,10
ken,2
kgz,10
khm,29
kir,29
kna,9
kor,28
kwt,21
lao,29
lbn,21
lbr,5
lby,3
lca,9
lie,16
lka,27
lso,4
ltu,12
lux,13
lva,12
mac,11
mar,3
mco,13
mda,14
mdg,2
mdv,27
mex,20
mhl,29
mkd,15
mli,5
mlt,12
mmr,29
mne,15
mng,10
moz,4
mrt,5
msr,9
mtq,9
mus,2
mwi,4
mys,29
nam,4
ncl,29
ner,5
nga,5
nic,9
niu,29
nld,13
nor,16
npl,27
nzl,6
omn,21
pak,22
pan,9
per,26
phl,29
plw,29
png,29
pol,12
pri,1
prk,29
prt,13
pry,26
pse,21
pyf,29
qat,21
reu,2
rou,12
rus,23
rwa,2
sau,21
sdn,2
sen,5
sgp,29
slb,29
sle,5
slv,9
smr,13
som,2
spm,13
srb,15
srb (kosovo),15
ssd,2
stp,5
sur,25
svk,12
svn,12
swe,13
swz,4
sxm,9
syc,29
syr,21
tca,13
tcd,5
tgo,5
tha,29
tjk,10
tkl,29
tkm,10
tls,29
ton,29
tto,9
tun,3
tur,15
twn,30
tza,4
uga,2
ukr,14
ury,26
usa,1
uzb,10
vct,9
ven,25
vgb,13
vir,1
vnm,29
vut,29
wlf,13
wsm,29
yem,21
zaf,24
zmb,4
zwe,4
